,state,act_participation,act_composite,sat_participation,sat_reading_and_writing,sat_math,sat_total
0,Alabama,1.0,19.1,0.06,595.0,571.0,1166.0
1,Alaska,0.33,20.8,0.43,562.0,544.0,1106.0
2,Arizona,0.66,19.2,0.29,577.0,572.0,1149.0
3,Arkansas,1.0,19.4,0.05,592.0,576.0,1169.0
4,California,0.27,22.7,0.6,540.0,536.0,1076.0
5,Colorado,0.3,23.9,1.0,519.0,506.0,1025.0
6,Connecticut,0.26,25.6,1.0,535.0,519.0,1053.0
7,Delaware,0.17,23.8,1.0,505.0,492.0,998.0
8,Florida,0.66,19.9,0.56,550.0,549.0,1099.0
9,Georgia,0.53,21.4,0.7,542.0,522.0,1064.0
10,Hawaii,0.89,18.9,0.56,480.0,530.0,1010.0
11,Idaho,0.36,22.3,1.0,508.0,493.0,1001.0
12,Illinois,0.43,23.9,0.99,513.0,506.0,1019.0
13,Indiana,0.32,22.5,0.63,542.0,532.0,1074.0
14,Iowa,0.68,21.8,0.03,634.0,631.0,1265.0
15,Kansas,0.71,21.6,0.04,633.0,631.0,1265.0
16,Kentucky,1.0,20.2,0.04,630.0,618.0,1248.0
17,Louisiana,1.0,19.2,0.04,615.0,595.0,1210.0
18,Maine,0.07,24.0,0.99,512.0,501.0,1013.0
19,Maine,0.07,24.0,0.99,512.0,501.0,1013.0
20,Maryland,0.31,22.5,0.76,545.0,535.0,1080.0
21,Massachusetts,0.25,25.5,0.8,562.0,563.0,1125.0
22,Michigan,0.22,24.2,1.0,511.0,499.0,1011.0
23,Minnesota,0.99,21.3,0.04,643.0,655.0,1298.0
24,Mississippi,1.0,18.6,0.03,630.0,606.0,1236.0
25,Missouri,1.0,20.0,0.04,633.0,629.0,1262.0
26,Montana,1.0,20.0,0.1,606.0,592.0,1198.0
27,Nebraska,1.0,20.1,0.03,629.0,623.0,1252.0
28,Nevada,1.0,17.7,0.23,574.0,566.0,1140.0
29,New Hampshire,0.16,25.1,0.96,535.0,528.0,1063.0
30,New Jersey,0.31,23.7,0.82,547.0,547.0,1094.0
31,New Mexico,0.67,19.4,0.16,552.0,540.0,1093.0
32,New York,0.27,24.5,0.79,534.0,534.0,1068.0
33,North Carolina,1.0,19.1,0.52,554.0,543.0,1098.0
34,North Dakota,0.98,20.3,0.02,640.0,643.0,1283.0
35,Ohio,1.0,20.3,0.18,552.0,547.0,1099.0
36,Oklahoma,1.0,19.3,0.08,541.0,521.0,1062.0
37,Oregon,0.42,21.3,0.48,564.0,553.0,1117.0
38,Pennsylvania,0.2,23.5,0.7,547.0,539.0,1086.0
39,Rhode Island,0.15,24.2,0.97,513.0,505.0,1018.0
40,South Carolina,1.0,18.3,0.55,547.0,523.0,1070.0
41,South Dakota,0.77,21.9,0.03,622.0,618.0,1240.0
42,Tennessee,1.0,19.6,0.06,624.0,607.0,1231.0
43,Texas,0.45,20.7,0.66,520.0,512.0,1032.0
44,Utah,1.0,20.4,0.04,480.0,530.0,1010.0
45,Vermont,0.24,24.1,0.64,565.0,554.0,1120.0
46,Virginia,0.24,23.9,0.68,567.0,550.0,1117.0
47,Washington,0.24,22.2,0.69,543.0,538.0,1081.0
48,West Virginia,0.65,20.3,0.28,513.0,486.0,999.0
49,Wisconsin,1.0,20.5,0.03,641.0,653.0,1294.0
50,Wyoming,1.0,20.0,0.03,633.0,625.0,1257.0
